mode,component,e1,e2,coeff_raw
1,dx1,0,0,2.22044604925031e-15
1,dx1,0,1,1
1,dx1,0,2,-1.27739470352867e-16
1,dx1,0,3,9.74034216721337e-16
1,dx1,1,0,5.51012022384575e-15
1,dx1,1,1,-4.61166197838286e-16
1,dx1,1,2,1.0182894436098e-15
1,dx1,2,0,-2.84887854413281e-15
1,dx1,2,1,-1.63608228006992e-15
1,dx1,3,0,-1.06061356768607e-14
1,dx2,0,0,5.41233724504764e-16
1,dx2,0,1,0.999999999999995
1,dx2,0,2,2.31125835125354e-15
1,dx2,0,3,1.99536816921864e-15
1,dx2,1,0,-2.06744429285441e-14
1,dx2,1,1,1.47291000316093e-15
1,dx2,1,2,4.17205537125734e-15
1,dx2,2,0,-6.74460487459783e-15
1,dx2,2,1,-1.00000000000002
1,dx2,3,0,-1.00000000000001
2,dx1,0,0,-4.91273688396632e-15
2,dx1,0,1,0.999999999999999
2,dx1,0,2,1.03306798984844e-15
2,dx1,0,3,9.74034216721337e-16
2,dx1,1,0,1.44530129098274e-15
2,dx1,1,1,2.09843219641478e-15
2,dx1,1,2,1.0182894436098e-15
2,dx1,2,0,2.37536305635617e-15
2,dx1,2,1,1.09072152004661e-15
2,dx2,0,0,-9.13158437754191e-15
2,dx2,0,1,1.00000000000001
2,dx2,0,2,4.95092489030672e-15
2,dx2,1,0,-0.999999999999994
2,dx2,1,1,2.9846566264464e-15
2,dx2,1,2,2.08602768562867e-15
2,dx2,2,0,1.81799020282369e-15
2,dx2,2,1,-1
2,dx2,3,0,-1.20707290044688e-15
